Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-17.280,10/21/18 - 13:16,Hana-17,X,X,X,X,0.0491,0.0491,4896.50,4896.50,X,25.93,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3041,3041,100,X,
Hana\Hana-17.282,10/24/18 - 15:26,X,0.000,0.000,0.00,0.00,0,0,0.00,0.00,0.0,0,0,X,0,0.000,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-17.283,10/24/18 - 15:29,X,0.000,0.000,0.00,0.00,0,0,0.00,0.00,0.0,0,0,X,0,0.000,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-17.284,10/27/18 - 13:54,Hana-17,X,X,X,X,0.0487,0.0487,4896.50,4896.50,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3477,3477,100,X,
Hana\Hana-17.285,11/18/18 - 10:07,Hana-17,X,X,X,X,0.0487,0.0487,4896.50,4896.50,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3364,3364,100,X,
Hana\Hana-20.261,01/07/18 - 16:10,Hana-20,3.500,2.250,4713.00,4713.00,0.04786,0.04786,4814.00,4814.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4276,4276,100,1587.8,
Hana\Hana-20.262,01/17/18 - 16:57,Hana-20,3.500,2.250,4713.00,4713.00,0.04786,0.04786,4814.00,4814.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4243,4243,100,1575.6,
Hana\Hana-20.263,01/18/18 - 08:02,Hana-20,3.500,2.250,4713.00,4713.00,0.04786,0.04786,4814.00,4814.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4087,4087,100,1518.8,
Hana\Hana-20.264,01/18/18 - 08:05,Hana-20,3.500,2.250,4713.00,4713.00,0.04786,0.04786,4814.00,4814.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4203,4203,100,1549.6,
Hana\Hana-20.265,01/19/18 - 07:51,Hana-20,3.500,X,4597.87,4597.87,0.04786,0.04786,4831.00,4831.00,X,25,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3795,3795,100,1412.7,
Hana\Hana-20.266,01/20/18 - 09:39,Hana-20,3.500,X,4597.87,4597.87,0.04786,0.04786,4831.00,4831.00,X,25,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3924,3924,100,1445.4,
Hana\Hana-20.267,01/23/18 - 15:59,Hana-20,3.500,X,4597.87,4597.87,0.04786,0.04786,4831.00,4831.00,X,25,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3816,3816,100,1407.1,
